category_name_en,total_orders,avg_lead_time,avg_delay,avg_review_score
office_furniture,1254,20.39,-10.94,3.5
christmas_supplies,125,15.3,-11.17,3.95
fashion_shoes,235,14.93,-13.89,4.25
home_appliances_2,227,13.42,-11.52,4.16
furniture_living_room,414,13.29,-10.88,3.92
fashion_underwear_beach,117,13.28,-10.06,4.02
garden_tools,3448,13.23,-11.06,4.07
consoles_games,1018,13.14,-10.76,4.11
computers,177,13.05,-10.64,4.19
home_confort,392,13.04,-8.91,3.85
audio,348,12.88,-9.28,3.82
computers_accessories,6530,12.78,-11.5,3.98
home_construction,483,12.76,-10.64,3.94
musical_instruments,611,12.5,-10.57,4.2
fashion_male_clothing,106,12.47,-11.77,3.74
electronics,2517,12.42,-10.24,4.05
furniture_decor,6307,12.4,-11.48,3.94
telephony,4093,12.38,-10.47,3.99
bed_bath_table,9272,12.34,-10.74,3.9
unknown,1392,12.31,-10.5,3.92
stationery,2264,12.28,-11.12,4.24
fixed_telephony,212,12.24,-13.76,3.75
watches_gifts,5495,12.19,-11.0,4.06
baby,2809,12.06,-10.73,4.06
cool_stuff,3559,11.9,-11.56,4.18
air_conditioning,246,11.79,-13.21,4.0
auto,3810,11.77,-10.52,4.09
sports_leisure,7530,11.69,-11.08,4.15
market_place,274,11.68,-13.67,4.05
health_beauty,8647,11.52,-11.06,4.18
kitchen_dining_laundry_garden_furniture,241,11.45,-11.47,4.02
costruction_tools_garden,190,11.43,-12.62,4.12
construction_tools_safety,159,11.43,-11.44,3.95
perfumery,3086,11.28,-11.48,4.22
toys,3804,11.23,-11.17,4.19
agro_industry_and_commerce,177,11.22,-10.5,4.09
books_general_interest,496,11.17,-11.22,4.5
art,195,10.87,-11.85,4.06
home_appliances,747,10.87,-11.72,4.21
pet_shop,1688,10.76,-11.6,4.21
fashion_bags_accessories,1820,10.61,-12.4,4.18
housewares,5743,10.46,-11.37,4.09
food_drink,221,10.45,-10.68,4.37
small_appliances,609,10.33,-12.94,4.2
industry_commerce_and_business,232,10.31,-11.62,4.09
construction_tools_construction,736,10.29,-10.7,4.08
books_technical,256,10.23,-10.42,4.38
luggage_accessories,1019,10.19,-11.67,4.35
drinks,287,10.02,-10.58,4.12
signaling_and_security,138,9.97,-11.76,4.08
construction_tools_lights,242,9.25,-10.32,4.0
food,441,9.1,-8.97,4.21
