cohort_month,first_order_delay_group,activity_month,cohort_index,cohort_size,retained_customers,retention_rate
2016-09-01,Delayed First Order,2016-09-01,0,1,1,1.0
2016-10-01,Delayed First Order,2016-10-01,0,2,2,1.0
2016-10-01,On-time/Early First Order,2016-10-01,0,260,260,1.0
2016-10-01,On-time/Early First Order,2017-04-01,6,260,1,0.0038
2016-10-01,On-time/Early First Order,2017-07-01,9,260,1,0.0038
2016-10-01,On-time/Early First Order,2017-09-01,11,260,1,0.0038
2016-10-01,On-time/Early First Order,2017-11-01,13,260,1,0.0038
2016-10-01,On-time/Early First Order,2018-01-01,15,260,1,0.0038
2016-10-01,On-time/Early First Order,2018-03-01,17,260,1,0.0038
2016-10-01,On-time/Early First Order,2018-05-01,19,260,2,0.0077
2016-10-01,On-time/Early First Order,2018-06-01,20,260,2,0.0077
2016-12-01,On-time/Early First Order,2016-12-01,0,1,1,1.0
2016-12-01,On-time/Early First Order,2017-01-01,1,1,1,1.0
2017-01-01,Delayed First Order,2017-01-01,0,22,22,1.0
2017-01-01,Delayed First Order,2017-04-01,3,22,1,0.0455
2017-01-01,On-time/Early First Order,2017-01-01,0,695,695,1.0
2017-01-01,On-time/Early First Order,2017-02-01,1,695,2,0.0029
2017-01-01,On-time/Early First Order,2017-03-01,2,695,2,0.0029
2017-01-01,On-time/Early First Order,2017-05-01,4,695,3,0.0043
2017-01-01,On-time/Early First Order,2017-06-01,5,695,1,0.0014
2017-01-01,On-time/Early First Order,2017-07-01,6,695,3,0.0043
2017-01-01,On-time/Early First Order,2017-08-01,7,695,1,0.0014
2017-01-01,On-time/Early First Order,2017-09-01,8,695,1,0.0014
2017-01-01,On-time/Early First Order,2017-11-01,10,695,3,0.0043
2017-01-01,On-time/Early First Order,2017-12-01,11,695,1,0.0014
2017-01-01,On-time/Early First Order,2018-01-01,12,695,5,0.0072
2017-01-01,On-time/Early First Order,2018-02-01,13,695,3,0.0043
2017-01-01,On-time/Early First Order,2018-03-01,14,695,1,0.0014
2017-01-01,On-time/Early First Order,2018-04-01,15,695,1,0.0014
2017-01-01,On-time/Early First Order,2018-05-01,16,695,2,0.0029
2017-01-01,On-time/Early First Order,2018-06-01,17,695,3,0.0043
2017-01-01,On-time/Early First Order,2018-08-01,19,695,1,0.0014
2017-02-01,Delayed First Order,2017-02-01,0,47,47,1.0
2017-02-01,On-time/Early First Order,2017-02-01,0,1581,1581,1.0
2017-02-01,On-time/Early First Order,2017-03-01,1,1581,3,0.0019
2017-02-01,On-time/Early First Order,2017-04-01,2,1581,5,0.0032
2017-02-01,On-time/Early First Order,2017-05-01,3,1581,2,0.0013
2017-02-01,On-time/Early First Order,2017-06-01,4,1581,7,0.0044
2017-02-01,On-time/Early First Order,2017-07-01,5,1581,2,0.0013
2017-02-01,On-time/Early First Order,2017-08-01,6,1581,4,0.0025
2017-02-01,On-time/Early First Order,2017-09-01,7,1581,3,0.0019
2017-02-01,On-time/Early First Order,2017-10-01,8,1581,2,0.0013
2017-02-01,On-time/Early First Order,2017-11-01,9,1581,3,0.0019
2017-02-01,On-time/Early First Order,2017-12-01,10,1581,2,0.0013
2017-02-01,On-time/Early First Order,2018-01-01,11,1581,5,0.0032
2017-02-01,On-time/Early First Order,2018-02-01,12,1581,2,0.0013
2017-02-01,On-time/Early First Order,2018-03-01,13,1581,3,0.0019
2017-02-01,On-time/Early First Order,2018-04-01,14,1581,2,0.0013
2017-02-01,On-time/Early First Order,2018-05-01,15,1581,1,6.0E-4
2017-02-01,On-time/Early First Order,2018-06-01,16,1581,1,6.0E-4
2017-02-01,On-time/Early First Order,2018-07-01,17,1581,3,0.0019
2017-03-01,Delayed First Order,2017-03-01,0,116,116,1.0
2017-03-01,Delayed First Order,2017-06-01,3,116,1,0.0086
2017-03-01,On-time/Early First Order,2017-03-01,0,2387,2387,1.0
2017-03-01,On-time/Early First Order,2017-04-01,1,2387,11,0.0046
2017-03-01,On-time/Early First Order,2017-05-01,2,2387,9,0.0038
2017-03-01,On-time/Early First Order,2017-06-01,3,2387,9,0.0038
2017-03-01,On-time/Early First Order,2017-07-01,4,2387,9,0.0038
2017-03-01,On-time/Early First Order,2017-08-01,5,2387,4,0.0017
2017-03-01,On-time/Early First Order,2017-09-01,6,2387,4,0.0017
2017-03-01,On-time/Early First Order,2017-10-01,7,2387,8,0.0034
2017-03-01,On-time/Early First Order,2017-11-01,8,2387,8,0.0034
2017-03-01,On-time/Early First Order,2017-12-01,9,2387,2,8.0E-4
2017-03-01,On-time/Early First Order,2018-01-01,10,2387,9,0.0038
2017-03-01,On-time/Early First Order,2018-02-01,11,2387,3,0.0013
2017-03-01,On-time/Early First Order,2018-03-01,12,2387,5,0.0021
2017-03-01,On-time/Early First Order,2018-04-01,13,2387,3,0.0013
2017-03-01,On-time/Early First Order,2018-05-01,14,2387,4,0.0017
2017-03-01,On-time/Early First Order,2018-06-01,15,2387,6,0.0025
2017-03-01,On-time/Early First Order,2018-07-01,16,2387,2,8.0E-4
2017-03-01,On-time/Early First Order,2018-08-01,17,2387,3,0.0013
2017-04-01,Delayed First Order,2017-04-01,0,149,149,1.0
2017-04-01,Delayed First Order,2017-05-01,1,149,1,0.0067
2017-04-01,Delayed First Order,2017-07-01,3,149,1,0.0067
2017-04-01,Delayed First Order,2017-08-01,4,149,1,0.0067
2017-04-01,Delayed First Order,2017-09-01,5,149,1,0.0067
2017-04-01,Delayed First Order,2018-02-01,10,149,1,0.0067
2017-04-01,Delayed First Order,2018-03-01,11,149,1,0.0067
2017-04-01,Delayed First Order,2018-06-01,14,149,1,0.0067
2017-04-01,On-time/Early First Order,2017-04-01,0,2107,2107,1.0
2017-04-01,On-time/Early First Order,2017-05-01,1,2107,13,0.0062
2017-04-01,On-time/Early First Order,2017-06-01,2,2107,5,0.0024
2017-04-01,On-time/Early First Order,2017-07-01,3,2107,3,0.0014
2017-04-01,On-time/Early First Order,2017-08-01,4,2107,5,0.0024
2017-04-01,On-time/Early First Order,2017-09-01,5,2107,5,0.0024
2017-04-01,On-time/Early First Order,2017-10-01,6,2107,8,0.0038
2017-04-01,On-time/Early First Order,2017-11-01,7,2107,7,0.0033
2017-04-01,On-time/Early First Order,2017-12-01,8,2107,7,0.0033
2017-04-01,On-time/Early First Order,2018-01-01,9,2107,4,0.0019
2017-04-01,On-time/Early First Order,2018-02-01,10,2107,5,0.0024
2017-04-01,On-time/Early First Order,2018-03-01,11,2107,1,5.0E-4
2017-04-01,On-time/Early First Order,2018-04-01,12,2107,1,5.0E-4
2017-04-01,On-time/Early First Order,2018-05-01,13,2107,1,5.0E-4
2017-04-01,On-time/Early First Order,2018-06-01,14,2107,1,5.0E-4
2017-04-01,On-time/Early First Order,2018-07-01,15,2107,2,9.0E-4
2017-04-01,On-time/Early First Order,2018-08-01,16,2107,3,0.0014
2017-05-01,Delayed First Order,2017-05-01,0,103,103,1.0
2017-05-01,Delayed First Order,2017-07-01,2,103,1,0.0097
2017-05-01,Delayed First Order,2018-04-01,11,103,1,0.0097
2017-05-01,On-time/Early First Order,2017-05-01,0,3347,3347,1.0
