seller_state,customer_state,order_count,avg_lead_time_days,delay_rate_pct,avg_review_score,same_state
SP,MA,491,22.01,18.94,3.69,0
SP,PI,329,20.28,16.41,3.94,0
SP,RJ,8158,16.21,14.12,3.87,0
SP,CE,969,21.19,13.73,3.96,0
SP,BA,2307,19.76,12.87,3.85,0
SP,MS,477,15.87,12.37,4.08,0
SP,ES,1461,15.73,12.32,4.03,0
PR,RJ,963,17.23,12.15,3.87,0
SP,PA,681,23.23,12.04,3.85,0
SP,PB,336,20.65,10.42,4.03,0
SP,RN,332,20.41,9.94,4.08,0
MG,BA,366,18.38,9.84,4.1,0
SP,PE,1133,18.88,9.8,4.03,0
SP,SC,2327,15.77,9.54,4.02,0
SC,RJ,470,16.33,9.15,3.94,0
MG,RJ,1134,14.14,8.29,4.14,0
RJ,SP,1320,11.77,7.8,4.14,0
SP,GO,1420,15.95,7.46,4.04,0
SP,RS,3596,16.12,6.62,4.12,0
SP,DF,1383,13.19,6.44,4.06,0
RJ,MG,551,12.14,5.99,4.26,0
SP,MT,653,17.67,5.97,4.15,0
PR,SC,390,13.34,5.38,4.31,0
SP,MG,7440,12.3,5.28,4.13,0
RJ,RJ,956,6.53,4.71,4.35,1
SP,SP,30735,7.88,4.65,4.23,1
SP,PR,3119,12.72,4.42,4.18,0
PR,RS,576,13.33,4.17,4.29,0
PR,MG,817,13.83,3.92,4.22,0
SC,SP,1305,12.01,3.68,4.23,0
MG,SP,2546,10.86,3.57,4.24,0
SC,MG,428,14.64,3.5,4.1,0
PR,SP,2924,11.11,3.08,4.26,0
PR,PR,714,8.16,2.66,4.38,1
MG,MG,1525,8.63,2.49,4.36,1
DF,SP,308,10.77,2.27,4.17,0
RS,SP,667,10.07,1.2,4.35,0
MG,PR,363,12.72,1.1,4.31,0
